id,parentId,name,size
1,NULL,S1,0
3,1,F3,100
6,1,F6,100
7,1,F7,100
8,1,F8,100
9,1,F9,100
10,1,F10,100
13,1,F13,100
14,1,F14,100
15,1,F15,100
17,1,F17,100
18,1,F18,100
19,1,F19,100
20,1,F20,100
22,1,F22,100
23,1,F23,100
24,1,F24,100
25,1,F25,100
27,1,F27,100
28,1,F28,100
29,1,F29,100
31,1,F31,100
32,1,F32,100
33,1,F33,100
35,1,F35,100
37,1,F37,100
38,1,F38,100
511,3,N511,25
516,3,N516,25
521,3,N521,25
526,3,N526,25
263,6,N263,25
268,6,N268,25
239,7,N239,25
244,7,N244,25
251,8,N251,25
256,8,N256,25
227,9,N227,25
232,9,N232,25
277,10,N277,25
282,10,N282,25
287,10,N287,25
292,10,N292,25
323,13,N323,25
328,13,N328,25
337,14,N337,25
342,14,N342,25
347,14,N347,25
352,14,N352,25
359,15,N359,25
364,15,N364,25
373,17,N373,25
378,17,N378,25
383,17,N383,25
388,17,N388,25
395,18,N395,25
400,18,N400,25
411,19,N411,25
416,19,N416,25
421,19,N421,25
426,19,N426,25
431,19,N431,25
436,19,N436,25
482,20,N482,25
487,20,N487,25
492,20,N492,25
497,20,N497,25
502,20,N502,25
445,22,N445,25
450,22,N450,25
455,22,N455,25
460,22,N460,25
467,23,N467,25
472,23,N472,25
301,24,N301,25
306,24,N306,25
311,24,N311,25
316,24,N316,25
536,25,N536,25
541,25,N541,25
546,25,N546,25
551,25,N551,25
556,25,N556,25
181,27,N181,25
186,27,N186,25
191,27,N191,25
196,27,N196,25
205,28,N205,25
210,28,N210,25
215,28,N215,25
220,28,N220,25
151,29,N151,25
156,29,N156,25
161,29,N161,25
166,29,N166,25
172,31,N172,25
43,32,N43,25
48,32,N48,25
53,32,N53,25
58,32,N58,25
79,33,N79,25
84,33,N84,25
89,33,N89,25
94,33,N94,25
65,35,N65,25
70,35,N70,25
105,37,N105,25
110,37,N110,25
115,37,N115,25
120,37,N120,25
125,37,N125,25
130,37,N130,25
137,38,N137,25
142,38,N142,25
44,43,H44,6
45,43,H45,6
46,43,H46,6
47,43,H47,6
49,48,H49,6
50,48,H50,6
51,48,H51,6
52,48,H52,6
54,53,H54,6
55,53,H55,6
56,53,H56,6
57,53,H57,6
59,58,H59,6
60,58,H60,6
61,58,H61,6
62,58,H62,6
66,65,H66,6
67,65,H67,6
68,65,H68,6
69,65,H69,6
71,70,H71,6
72,70,H72,6
73,70,H73,6
74,70,H74,6
80,79,H80,6
81,79,H81,6
82,79,H82,6
83,79,H83,6
85,84,H85,6
86,84,H86,6
87,84,H87,6
88,84,H88,6
90,89,H90,6
91,89,H91,6
92,89,H92,6
93,89,H93,6
95,94,H95,6
96,94,H96,6
97,94,H97,6
98,94,H98,6
106,105,H106,6
107,105,H107,6
108,105,H108,6
109,105,H109,6
111,110,H111,6
112,110,H112,6
113,110,H113,6
114,110,H114,6
116,115,H116,6
117,115,H117,6
118,115,H118,6
119,115,H119,6
121,120,H121,6
122,120,H122,6
123,120,H123,6
124,120,H124,6
126,125,H126,6
127,125,H127,6
128,125,H128,6
129,125,H129,6
131,130,H131,6
132,130,H132,6
133,130,H133,6
134,130,H134,6
