id,parentId,name,size,type
1,NULL,S1,500,S
2,1,F2,200,F
3,2,F3,200,F
4,3,F4,200,F
5,4,F5,200,F
6,5,F6,200,F
7,6,F7,200,F
8,7,F8,200,F
9,7,F9,200,F
10,5,F10,200,F
11,10,F11,200,F
12,11,F12,200,F
13,12,F13,200,F
14,12,F14,200,F
15,14,F15,200,F
16,15,F16,200,F
17,16,F17,200,F
18,16,F18,200,F
19,15,F19,200,F
20,19,F20,200,F
21,20,F21,200,F
22,21,F22,200,F
23,21,F23,200,F
24,11,F24,200,F
25,11,F25,200,F
26,4,F26,200,F
27,26,F27,200,F
28,26,F28,200,F
29,4,F29,200,F
30,29,F30,200,F
31,30,F31,200,F
32,31,F32,200,F
33,30,F33,200,F
34,33,F34,200,F
35,34,F35,200,F
36,33,F36,200,F
37,36,F37,200,F
38,36,F38,200,F
39,32,L39,100,L
40,39,L40,100,L
41,40,L41,100,L
42,41,L42,100,L
43,39,N43,25,N
44,43,H44,6,H
45,43,H45,6,H
46,43,H46,6,H
47,43,H47,6,H
48,40,N48,25,N
49,48,H49,6,H
50,48,H50,6,H
51,48,H51,6,H
52,48,H52,6,H
53,41,N53,25,N
54,53,H54,6,H
55,53,H55,6,H
56,53,H56,6,H
57,53,H57,6,H
58,42,N58,25,N
59,58,H59,6,H
60,58,H60,6,H
61,58,H61,6,H
62,58,H62,6,H
63,35,L63,100,L
64,63,L64,100,L
65,63,N65,25,N
66,65,H66,6,H
67,65,H67,6,H
68,65,H68,6,H
69,65,H69,6,H
70,64,N70,25,N
71,70,H71,6,H
72,70,H72,6,H
73,70,H73,6,H
74,70,H74,6,H
75,33,L75,100,L
76,75,L76,100,L
77,76,L77,100,L
78,77,L78,100,L
79,75,N79,25,N
80,79,H80,6,H
81,79,H81,6,H
82,79,H82,6,H
83,79,H83,6,H
84,76,N84,25,N
85,84,H85,6,H
86,84,H86,6,H
87,84,H87,6,H
88,84,H88,6,H
89,77,N89,25,N
90,89,H90,6,H
91,89,H91,6,H
92,89,H92,6,H
93,89,H93,6,H
94,78,N94,25,N
95,94,H95,6,H
96,94,H96,6,H
97,94,H97,6,H
98,94,H98,6,H
99,37,L99,100,L
100,99,L100,100,L
101,100,L101,100,L
102,101,L102,100,L
103,102,L103,100,L
104,103,L104,100,L
105,99,N105,25,N
106,105,H106,6,H
107,105,H107,6,H
108,105,H108,6,H
109,105,H109,6,H
110,100,N110,25,N
111,110,H111,6,H
112,110,H112,6,H
113,110,H113,6,H
114,110,H114,6,H
115,101,N115,25,N
116,115,H116,6,H
117,115,H117,6,H
118,115,H118,6,H
119,115,H119,6,H
120,102,N120,25,N
121,120,H121,6,H
122,120,H122,6,H
123,120,H123,6,H
124,120,H124,6,H
125,103,N125,25,N
126,125,H126,6,H
127,125,H127,6,H
128,125,H128,6,H
129,125,H129,6,H
130,104,N130,25,N
131,130,H131,6,H
132,130,H132,6,H
133,130,H133,6,H
134,130,H134,6,H
135,38,L135,100,L
136,135,L136,100,L
137,135,N137,25,N
138,137,H138,6,H
139,137,H139,6,H
140,137,H140,6,H
141,137,H141,6,H
142,136,N142,25,N
143,142,H143,6,H
144,142,H144,6,H
145,142,H145,6,H
146,142,H146,6,H
147,29,L147,100,L
148,147,L148,100,L
149,148,L149,100,L
150,149,L150,100,L
151,147,N151,25,N
152,151,H152,6,H
153,151,H153,6,H
154,151,H154,6,H
155,151,H155,6,H
156,148,N156,25,N
157,156,H157,6,H
158,156,H158,6,H
159,156,H159,6,H
160,156,H160,6,H
161,149,N161,25,N
162,161,H162,6,H
163,161,H163,6,H
164,161,H164,6,H
165,161,H165,6,H
166,150,N166,25,N
167,166,H167,6,H
168,166,H168,6,H
169,166,H169,6,H
170,166,H170,6,H
171,31,L171,100,L
172,171,N172,25,N
173,172,H173,6,H
174,172,H174,6,H
175,172,H175,6,H
176,172,H176,6,H
177,27,L177,100,L
178,177,L178,100,L
179,178,L179,100,L
180,179,L180,100,L
181,177,N181,25,N
182,181,H182,6,H
183,181,H183,6,H
184,181,H184,6,H
185,181,H185,6,H
186,178,N186,25,N
187,186,H187,6,H
188,186,H188,6,H
189,186,H189,6,H
190,186,H190,6,H
191,179,N191,25,N
192,191,H192,6,H
193,191,H193,6,H
194,191,H194,6,H
195,191,H195,6,H
196,180,N196,25,N
197,196,H197,6,H
198,196,H198,6,H
199,196,H199,6,H
200,196,H200,6,H
201,28,L201,100,L
202,201,L202,100,L
203,202,L203,100,L
204,203,L204,100,L
205,201,N205,25,N
206,205,H206,6,H
207,205,H207,6,H
208,205,H208,6,H
209,205,H209,6,H
210,202,N210,25,N
211,210,H211,6,H
212,210,H212,6,H
213,210,H213,6,H
214,210,H214,6,H
215,203,N215,25,N
216,215,H216,6,H
217,215,H217,6,H
218,215,H218,6,H
219,215,H219,6,H
220,204,N220,25,N
221,220,H221,6,H
222,220,H222,6,H
223,220,H223,6,H
224,220,H224,6,H
225,9,L225,100,L
226,225,L226,100,L
227,225,N227,25,N
228,227,H228,6,H
229,227,H229,6,H
230,227,H230,6,H
231,227,H231,6,H
232,226,N232,25,N
233,232,H233,6,H
234,232,H234,6,H
235,232,H235,6,H
236,232,H236,6,H
237,7,L237,100,L
238,237,L238,100,L
239,237,N239,25,N
240,239,H240,6,H
241,239,H241,6,H
242,239,H242,6,H
243,239,H243,6,H
244,238,N244,25,N
245,244,H245,6,H
246,244,H246,6,H
247,244,H247,6,H
248,244,H248,6,H
249,8,L249,100,L
250,249,L250,100,L
251,249,N251,25,N
252,251,H252,6,H
253,251,H253,6,H
254,251,H254,6,H
255,251,H255,6,H
256,250,N256,25,N
257,256,H257,6,H
258,256,H258,6,H
259,256,H259,6,H
260,256,H260,6,H
261,6,L261,100,L
262,261,L262,100,L
263,261,N263,25,N
264,263,H264,6,H
265,263,H265,6,H
266,263,H266,6,H
267,263,H267,6,H
268,262,N268,25,N
269,268,H269,6,H
270,268,H270,6,H
271,268,H271,6,H
272,268,H272,6,H
273,10,L273,100,L
274,273,L274,100,L
275,274,L275,100,L
276,275,L276,100,L
277,273,N277,25,N
278,277,H278,6,H
279,277,H279,6,H
280,277,H280,6,H
281,277,H281,6,H
282,274,N282,25,N
283,282,H283,6,H
284,282,H284,6,H
285,282,H285,6,H
286,282,H286,6,H
287,275,N287,25,N
288,287,H288,6,H
289,287,H289,6,H
290,287,H290,6,H
291,287,H291,6,H
292,276,N292,25,N
293,292,H293,6,H
294,292,H294,6,H
295,292,H295,6,H
296,292,H296,6,H
297,24,L297,100,L
298,297,L298,100,L
299,298,L299,100,L
300,299,L300,100,L
301,297,N301,25,N
302,301,H302,6,H
303,301,H303,6,H
304,301,H304,6,H
305,301,H305,6,H
306,298,N306,25,N
307,306,H307,6,H
308,306,H308,6,H
309,306,H309,6,H
310,306,H310,6,H
311,299,N311,25,N
312,311,H312,6,H
313,311,H313,6,H
314,311,H314,6,H
315,311,H315,6,H
316,300,N316,25,N
317,316,H317,6,H
318,316,H318,6,H
319,316,H319,6,H
320,316,H320,6,H
321,13,L321,100,L
322,321,L322,100,L
323,321,N323,25,N
324,323,H324,6,H
325,323,H325,6,H
326,323,H326,6,H
327,323,H327,6,H
328,322,N328,25,N
329,328,H329,6,H
330,328,H330,6,H
331,328,H331,6,H
332,328,H332,6,H
333,14,L333,100,L
334,333,L334,100,L
335,334,L335,100,L
336,335,L336,100,L
337,333,N337,25,N
338,337,H338,6,H
339,337,H339,6,H
340,337,H340,6,H
341,337,H341,6,H
342,334,N342,25,N
343,342,H343,6,H
344,342,H344,6,H
345,342,H345,6,H
346,342,H346,6,H
347,335,N347,25,N
348,347,H348,6,H
349,347,H349,6,H
350,347,H350,6,H
351,347,H351,6,H
352,336,N352,25,N
353,352,H353,6,H
354,352,H354,6,H
355,352,H355,6,H
356,352,H356,6,H
357,15,L357,100,L
358,357,L358,100,L
359,357,N359,25,N
360,359,H360,6,H
361,359,H361,6,H
362,359,H362,6,H
363,359,H363,6,H
364,358,N364,25,N
365,364,H365,6,H
366,364,H366,6,H
367,364,H367,6,H
368,364,H368,6,H
