id,parentId,name,size
1,NULL,S1,0
32,1,F32,100
35,1,F35,100
33,1,F33,100
37,1,F37,100
38,1,F38,100
29,1,F29,100
31,1,F31,100
27,1,F27,100
28,1,F28,100
9,1,F9,100
7,1,F7,100
8,1,F8,100
6,1,F6,100
10,1,F10,100
24,1,F24,100
13,1,F13,100
14,1,F14,100
15,1,F15,100
17,1,F17,100
18,1,F18,100
19,1,F19,100
22,1,F22,100
23,1,F23,100
20,1,F20,100
3,1,F3,100
25,1,F25,100
39,32,L39,30
75,33,L75,30
99,37,L99,30
135,38,L135,30
147,29,L147,30
171,31,L171,30
177,27,L177,30
201,28,L201,30
225,9,L225,30
237,7,L237,30
249,8,L249,30
261,6,L261,30
273,10,L273,30
297,24,L297,30
321,13,L321,30
333,14,L333,30
357,15,L357,30
369,17,L369,30
393,18,L393,30
405,19,L405,30
441,22,L441,30
465,23,L465,30
477,20,L477,30
507,3,L507,30
531,25,L531,30
40,32,L40,30
41,32,L41,30
42,32,L42,30
43,39,N43,25,N
44,43,H44,6,H
45,43,H45,6,H
46,43,H46,6,H
47,43,H47,6,H
48,39,N48,25,N
49,48,H49,6,H
50,48,H50,6,H
51,48,H51,6,H
52,48,H52,6,H
53,39,N53,25,N
54,53,H54,6,H
55,53,H55,6,H
56,53,H56,6,H
57,53,H57,6,H
58,39,N58,25,N
59,58,H59,6,H
60,58,H60,6,H
61,58,H61,6,H
62,58,H62,6,H
63,35,L63,30
64,35,L64,30
65,63,N65,25,N
66,65,H66,6,H
67,65,H67,6,H
68,65,H68,6,H
69,65,H69,6,H
70,63,N70,25,N
71,70,H71,6,H
72,70,H72,6,H
73,70,H73,6,H
74,70,H74,6,H
76,33,L76,30
77,33,L77,30
78,33,L78,30
79,75,N79,25,N
80,79,H80,6,H
81,79,H81,6,H
82,79,H82,6,H
83,79,H83,6,H
84,75,N84,25,N
85,84,H85,6,H
86,84,H86,6,H
87,84,H87,6,H
88,84,H88,6,H
89,75,N89,25,N
90,89,H90,6,H
91,89,H91,6,H
92,89,H92,6,H
93,89,H93,6,H
94,75,N94,25,N
95,94,H95,6,H
96,94,H96,6,H
97,94,H97,6,H
98,94,H98,6,H
100,37,L100,30
101,37,L101,30
102,37,L102,30
103,37,L103,30
104,37,L104,30
105,99,N105,25,N
106,105,H106,6,H
107,105,H107,6,H
108,105,H108,6,H
109,105,H109,6,H
110,99,N110,25,N
111,110,H111,6,H
112,110,H112,6,H
113,110,H113,6,H
114,110,H114,6,H
115,99,N115,25,N
116,115,H116,6,H
117,115,H117,6,H
118,115,H118,6,H
119,115,H119,6,H
120,99,N120,25,N
121,120,H121,6,H
122,120,H122,6,H
123,120,H123,6,H
124,120,H124,6,H
125,99,N125,25,N
126,125,H126,6,H
127,125,H127,6,H
128,125,H128,6,H
129,125,H129,6,H
130,99,N130,25,N
131,130,H131,6,H
132,130,H132,6,H
133,130,H133,6,H
134,130,H134,6,H
136,38,L136,30
137,135,N137,25,N
138,137,H138,6,H
139,137,H139,6,H
140,137,H140,6,H
141,137,H141,6,H
142,135,N142,25,N
143,142,H143,6,H
144,142,H144,6,H
145,142,H145,6,H
146,142,H146,6,H
151,147,N151,25,N
152,151,H152,6,H
153,151,H153,6,H
154,151,H154,6,H
155,151,H155,6,H
156,147,N156,25,N
157,156,H157,6,H
158,156,H158,6,H
159,156,H159,6,H
160,156,H160,6,H
161,147,N161,25,N
162,161,H162,6,H
163,161,H163,6,H
164,161,H164,6,H
165,161,H165,6,H
166,147,N166,25,N
167,166,H167,6,H
168,166,H168,6,H
169,166,H169,6,H
170,166,H170,6,H
172,171,N172,25,N
173,172,H173,6,H
174,172,H174,6,H
175,172,H175,6,H
176,172,H176,6,H
178,177,L178,100,L
181,177,N181,25,N
182,181,H182,6,H
183,181,H183,6,H
184,181,H184,6,H
185,181,H185,6,H
186,177,N186,25,N
187,186,H187,6,H
188,186,H188,6,H
189,186,H189,6,H
190,186,H190,6,H
191,177,N191,25,N
192,191,H192,6,H
193,191,H193,6,H
194,191,H194,6,H
195,191,H195,6,H
196,177,N196,25,N
197,196,H197,6,H
198,196,H198,6,H
199,196,H199,6,H
200,196,H200,6,H
205,201,N205,25,N
206,205,H206,6,H
207,205,H207,6,H
208,205,H208,6,H
209,205,H209,6,H
210,201,N210,25,N
211,210,H211,6,H
212,210,H212,6,H
213,210,H213,6,H
214,210,H214,6,H
215,201,N215,25,N
216,215,H216,6,H
217,215,H217,6,H
218,215,H218,6,H
219,215,H219,6,H
220,201,N220,25,N
221,220,H221,6,H
222,220,H222,6,H
223,220,H223,6,H
224,220,H224,6,H
227,225,N227,25,N
228,227,H228,6,H
229,227,H229,6,H
230,227,H230,6,H
231,227,H231,6,H
232,225,N232,25,N
233,232,H233,6,H
234,232,H234,6,H
235,232,H235,6,H
236,232,H236,6,H
239,237,N239,25,N
240,239,H240,6,H
241,239,H241,6,H
242,239,H242,6,H
243,239,H243,6,H
244,237,N244,25,N
245,244,H245,6,H
246,244,H246,6,H
247,244,H247,6,H
248,244,H248,6,H
251,249,N251,25,N
252,251,H252,6,H
253,251,H253,6,H
254,251,H254,6,H
255,251,H255,6,H
256,249,N256,25,N
257,256,H257,6,H
258,256,H258,6,H
259,256,H259,6,H
260,256,H260,6,H
263,261,N263,25,N
264,263,H264,6,H
265,263,H265,6,H
266,263,H266,6,H
267,263,H267,6,H
268,261,N268,25,N
269,268,H269,6,H
270,268,H270,6,H
271,268,H271,6,H
272,268,H272,6,H
277,273,N277,25,N
278,277,H278,6,H
279,277,H279,6,H
280,277,H280,6,H
281,277,H281,6,H
282,273,N282,25,N
283,282,H283,6,H
284,282,H284,6,H
285,282,H285,6,H
286,282,H286,6,H
287,273,N287,25,N
288,287,H288,6,H
289,287,H289,6,H
290,287,H290,6,H
291,287,H291,6,H
292,273,N292,25,N
293,292,H293,6,H
294,292,H294,6,H
295,292,H295,6,H
296,292,H296,6,H
301,297,N301,25,N
302,301,H302,6,H
303,301,H303,6,H
304,301,H304,6,H
305,301,H305,6,H
306,297,N306,25,N
307,306,H307,6,H
308,306,H308,6,H
309,306,H309,6,H
310,306,H310,6,H
311,297,N311,25,N
312,311,H312,6,H
313,311,H313,6,H
314,311,H314,6,H
315,311,H315,6,H
316,297,N316,25,N
317,316,H317,6,H
318,316,H318,6,H
319,316,H319,6,H
320,316,H320,6,H
323,321,N323,25,N
324,323,H324,6,H
325,323,H325,6,H
326,323,H326,6,H
327,323,H327,6,H
328,321,N328,25,N
329,328,H329,6,H
330,328,H330,6,H
331,328,H331,6,H
332,328,H332,6,H
337,333,N337,25,N
338,337,H338,6,H
339,337,H339,6,H
340,337,H340,6,H
341,337,H341,6,H
342,333,N342,25,N
343,342,H343,6,H
344,342,H344,6,H
345,342,H345,6,H
346,342,H346,6,H
347,333,N347,25,N
348,347,H348,6,H
349,347,H349,6,H
350,347,H350,6,H
351,347,H351,6,H
352,333,N352,25,N
353,352,H353,6,H
354,352,H354,6,H
355,352,H355,6,H
356,352,H356,6,H
359,357,N359,25,N
360,359,H360,6,H
361,359,H361,6,H
362,359,H362,6,H
363,359,H363,6,H
364,357,N364,25,N
365,364,H365,6,H
366,364,H366,6,H
367,364,H367,6,H
368,364,H368,6,H
373,369,N373,25,N
374,373,H374,6,H
375,373,H375,6,H
376,373,H376,6,H
377,373,H377,6,H
378,369,N378,25,N
379,378,H379,6,H
380,378,H380,6,H
381,378,H381,6,H
382,378,H382,6,H
383,369,N383,25,N
384,383,H384,6,H
385,383,H385,6,H
386,383,H386,6,H
387,383,H387,6,H
388,369,N388,25,N
389,388,H389,6,H
390,388,H390,6,H
391,388,H391,6,H
392,388,H392,6,H
395,393,N395,25,N
396,395,H396,6,H
397,395,H397,6,H
398,395,H398,6,H
399,395,H399,6,H
400,393,N400,25,N
401,400,H401,6,H
402,400,H402,6,H
403,400,H403,6,H
404,400,H404,6,H
411,405,N411,25,N
412,411,H412,6,H
413,411,H413,6,H
414,411,H414,6,H
415,411,H415,6,H
416,405,N416,25,N
417,416,H417,6,H
418,416,H418,6,H
419,416,H419,6,H
420,416,H420,6,H
421,405,N421,25,N
422,421,H422,6,H
423,421,H423,6,H
424,421,H424,6,H
425,421,H425,6,H
426,405,N426,25,N
427,426,H427,6,H
428,426,H428,6,H
429,426,H429,6,H
430,426,H430,6,H
431,405,N431,25,N
432,431,H432,6,H
433,431,H433,6,H
434,431,H434,6,H
435,431,H435,6,H
436,405,N436,25,N
437,436,H437,6,H
438,436,H438,6,H
439,436,H439,6,H
440,436,H440,6,H
445,441,N445,25,N
446,445,H446,6,H
447,445,H447,6,H
448,445,H448,6,H
449,445,H449,6,H
450,441,N450,25,N
451,450,H451,6,H
452,450,H452,6,H
453,450,H453,6,H
454,450,H454,6,H
455,441,N455,25,N
456,455,H456,6,H
457,455,H457,6,H
458,455,H458,6,H
459,455,H459,6,H
460,441,N460,25,N
461,460,H461,6,H
462,460,H462,6,H
463,460,H463,6,H
464,460,H464,6,H
467,465,N467,25,N
468,467,H468,6,H
469,467,H469,6,H
470,467,H470,6,H
471,467,H471,6,H
472,465,N472,25,N
473,472,H473,6,H
474,472,H474,6,H
475,472,H475,6,H
476,472,H476,6,H
482,477,N482,25,N
483,482,H483,6,H
484,482,H484,6,H
485,482,H485,6,H
486,482,H486,6,H
487,477,N487,25,N
488,487,H488,6,H
489,487,H489,6,H
490,487,H490,6,H
491,487,H491,6,H
492,477,N492,25,N
493,492,H493,6,H
494,492,H494,6,H
495,492,H495,6,H
496,492,H496,6,H
497,477,N497,25,N
498,497,H498,6,H
499,497,H499,6,H
500,497,H500,6,H
501,497,H501,6,H
502,477,N502,25,N
503,502,H503,6,H
504,502,H504,6,H
505,502,H505,6,H
506,502,H506,6,H
511,507,N511,25,N
512,511,H512,6,H
513,511,H513,6,H
514,511,H514,6,H
515,511,H515,6,H
516,507,N516,25,N
517,516,H517,6,H
518,516,H518,6,H
519,516,H519,6,H
520,516,H520,6,H
521,507,N521,25,N
